"id","date","prec"
120,"apr30",2.5
121,"may01",2.8
122,"may02",3.8
123,"may03",2.3
124,"may04",1.2
125,"may05",2.6
126,"may06",1.9
127,"may07",1.6
128,"may08",2.6
129,"may09",1.1
130,"may10",1.3
131,"may11",1.9
132,"may12",1.2
133,"may13",2.9
134,"may14",1.7
135,"may15",1.7
136,"may16",1.2
137,"may17",1.5
138,"may18",1.5
139,"may19",2.2
140,"may20",2.2
141,"may21",0.7
142,"may22",2
143,"may23",2
144,"may24",2.3
145,"may25",1.2
146,"may26",3
147,"may27",1.6
148,"may28",2.1
149,"may29",2.3
150,"may30",1.6
151,"may31",2.8
152,"jun01",1.8
153,"jun02",1.1
154,"jun03",1.7
155,"jun04",2.7
156,"jun05",0.7
157,"jun06",2
158,"jun07",0.8
159,"jun08",1.5
160,"jun09",2.1
161,"jun10",2.4
162,"jun11",1.4
163,"jun12",1.9
164,"jun13",2.5
165,"jun14",1.3
166,"jun15",2.2
167,"jun16",2.5
168,"jun17",1.3
169,"jun18",2.3
170,"jun19",0.8
171,"jun20",0.9
172,"jun21",1.2
173,"jun22",1.3
174,"jun23",0.9
175,"jun24",1.4
176,"jun25",1
177,"jun26",2.3
178,"jun27",1.6
179,"jun28",1.4
180,"jun29",3.3
181,"jun30",0.5
